,tag,time,CONF,TEMP_BARO,PRESS_BARO,ALT_BARO,GPS_LAT,GPS_LONG,GPS_ALT,TAR_GPS_LAT,TAR_GPS_LONG,LOC_POS,AccX,AccY,AccZ,GyrX,GyrY,GyrZ,Heading,RecvOk,STATUS
111206,111206,07:45:55,['@ARMED'],,,,,,,,,,,,,,,,,,
111207,111207,07:45:55,[],27.3,101523.6,-0.1391,27.977125,-82.024019,-0.0,0.0,0.0,"-0.000,-0.000",0.08,0.01,0.99,2.3,-3.8,2.5,5.2,0.0,@ARMED
111208,111208,07:45:55,[],27.3,101528.7,-0.1674,27.977125,-82.024019,-0.0,0.0,0.0,"-0.000,-0.000",0.1,0.02,0.99,0.9,-2.0,2.6,5.0,100.0,@ARMED
111209,111209,07:45:55,[],27.3,101527.7,-0.1618,27.977125,-82.024019,-0.0,0.0,0.0,"-0.000,-0.000",0.11,0.02,1.0,0.6,-0.7,-8.0,5.1,100.0,@ARMED
111210,111210,07:45:56,[],27.3,101524.6,-0.1448,27.977125,-82.024019,-0.0,0.0,0.0,"-0.000,-0.000",0.09,0.02,1.01,0.2,-2.5,-4.5,5.0,100.0,@ARMED
111211,111211,07:45:56,[],27.3,101534.8,-0.2012,27.977125,-82.024019,-0.0,0.0,0.0,"-0.000,-0.000",0.08,0.03,0.99,1.2,-1.5,-1.7,5.3,100.0,@ARMED
111212,111212,07:45:56,[],27.3,101538.9,-0.2238,27.977125,-82.024019,-0.0,0.0,0.0,"-0.000,-0.000",0.09,0.03,0.98,0.7,-1.6,-2.2,5.0,100.0,@ARMED
111213,111213,07:45:56,[],27.3,101532.8,-0.19,27.977125,-82.024019,-0.0,0.0,0.0,"-0.000,-0.000",0.08,0.04,0.98,0.9,-2.8,5.4,5.1,100.0,@ARMED
111214,111214,07:45:56,[],27.3,101528.7,-0.1673,27.977125,-82.024019,-0.0,0.0,0.0,"-0.000,-0.000",0.07,0.03,0.98,-0.1,-2.5,-6.4,5.1,100.0,@ARMED
111215,111215,07:45:57,[],27.3,101514.4,-0.088,27.977125,-82.024019,-0.0,0.0,0.0,"-0.000,-0.000",0.08,0.04,0.99,0.3,-1.5,2.2,5.2,100.0,@ARMED
